Official name of position,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard module power ID,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group,nominal HV,old FED ID
FPix_BpI_D3_BLD14_PNL2_RNG2,4T,M-I-2-34,4301,6,3Ta,3TD,1,PR109,portcard_FPix_BpI_D3_PRT4,PB-44,J12,3,dcdc_FPix_BpI_D3_PRT4,Disk3_RG1,CI-A 047,P56,A18,SN112498/0003,B12,3.02E+13,A,0x7b,0x12,FPix +z down right 2,4,FPix +z down right 3,4,4,violet-10,19/20,6,t,1301,top,,9,4,1,D3-RG1-HV1,,1285
FPix_BpI_D3_BLD13_PNL2_RNG2,5T,M-Q-4-29,4287,11,3Tb,3TC,7,PR112,portcard_FPix_BpI_D3_PRT3,PB-8,J12,3,dcdc_FPix_BpI_D3_PRT3,Disk3_RG2,CI-A 019,P55,A18,SN112498/0003,B12,3.02E+13,B,0x7c,0x12,FPix +z down right 2,4,FPix +z down right 3,4,4,turquoise-12,23/24,6,t,1301,top,,9,4,2,D3-RG2-HV1,,1285
FPix_BpI_D3_BLD12_PNL2_RNG2,6T,M-Q-3-19,4293,10,3Tb,3TC,5,PR112,portcard_FPix_BpI_D3_PRT3,PB-8,J12,3,dcdc_FPix_BpI_D3_PRT3,Disk3_RG2,CI-A 019,P55,A17,SN112498/0037,B12,3.02E+13,B,0x7c,0x12,FPix +z down right 2,5,FPix +z down right 3,4,5,turquoise-12,47/48,5,b,1300,top,,9,4,2,D3-RG2-HV1,,1284
FPix_BpI_D3_BLD11_PNL2_RNG2,7T,M-P-5-09,4324,9,3Tb,3TC,4,PR112,portcard_FPix_BpI_D3_PRT3,PB-8,J12,4,dcdc_FPix_BpI_D3_PRT3,Disk3_RG2,CI-A 019,P55,B16,SN112498/0005,B12,3.02E+13,B,0x7c,0x12,FPix +z down right 2,6,FPix +z down right 3,4,6,violet-10,19/20,5,t,1300,top,,9,4,2,D3-RG2-HV1,,1284
FPix_BpI_D3_BLD10_PNL2_RNG2,8T,M-Q-8-25,4305,8,3Tb,3TC,3,PR112,portcard_FPix_BpI_D3_PRT3,PB-8,J12,3,dcdc_FPix_BpI_D3_PRT3,Disk3_RG2,CI-A 019,P55,B16,SN112498/0005,B12,3.02E+13,B,0x7c,0x12,FPix +z down right 2,6,FPix +z down right 3,4,6,turquoise-12,23/24,5,t,1300,top,,9,4,2,D3-RG2-HV1,,1284
FPix_BpI_D3_BLD9_PNL2_RNG2,9T,M-M-2-09,4321,7,3Tb,3TC,1,PR112,portcard_FPix_BpI_D3_PRT3,PB-8,J12,3,dcdc_FPix_BpI_D3_PRT3,Disk3_RG2,CI-A 019,P55,B15,SN112498/0006,B12,3.02E+13,B,0x7c,0x12,FPix +z down right 3,1,FPix +z down right 3,4,7,turquoise-12,47/48,4,b,1299,top,,9,4,2,D3-RG2-HV1,,1283
FPix_BpI_D3_BLD8_PNL2_RNG2,10T,M-Q-9-16,4300,9,3Tc,3TB,7,PR151,portcard_FPix_BpI_D3_PRT2,PB-53,J12,3,dcdc_FPix_BpI_D3_PRT2,Disk3_RG3,CI-A 041,P70,C7,SN112498/0010,C8,3.02E+13,A,0x7e,0x12,FPix +z up right 6,1,FPix +z up right 6,2,8,violet-10,19/20,4,t,1299,top,,9,3,1,D3-RG3-HV1,,1283
FPix_BpI_D3_BLD7_PNL2_RNG2,11T,M-Q-2-48,4294,8,3Tc,3TB,5,PR151,portcard_FPix_BpI_D3_PRT2,PB-53,J12,3,dcdc_FPix_BpI_D3_PRT2,Disk3_RG3,CI-A 041,P70,C6,SN112498/0009,C8,3.02E+13,A,0x7e,0x12,FPix +z up right 5,6,FPix +z up right 6,2,9,violet-10,43/44,3,b,1298,top,,9,3,1,D3-RG3-HV1,,1282
FPix_BpI_D3_BLD6_PNL2_RNG2,12T,M-Q-6-39,4320,7,3Tc,3TB,3,PR151,portcard_FPix_BpI_D3_PRT2,PB-53,J12,3,dcdc_FPix_BpI_D3_PRT2,Disk3_RG3,CI-A 041,P70,D5,SN112498/0008,C8,3.02E+13,A,0x7e,0x12,FPix +z up right 5,5,FPix +z up right 6,2,10,violet-10,19/20,3,t,1298,top,,9,3,1,D3-RG3-HV1,,1282
FPix_BpI_D3_BLD5_PNL2_RNG2,13T,M-Q-9-27,4285,6,3Tc,3TB,1,PR151,portcard_FPix_BpI_D3_PRT2,PB-53,J12,3,dcdc_FPix_BpI_D3_PRT2,Disk3_RG3,CI-A 041,P70,D4,SN112498/0040,C8,3.02E+13,A,0x7e,0x12,FPix +z up right 5,4,FPix +z up right 6,2,11,violet-10,43/44,2,b,1297,top,,9,3,1,D3-RG3-HV1,,1281
FPix_BpI_D3_BLD4_PNL2_RNG2,14T,M-Q-4-15,4283,9,3Td,3TA,7,PR147,portcard_FPix_BpI_D3_PRT1,PB-43,J12,3,dcdc_FPix_BpI_D3_PRT1,Disk3_RG4,CI-A 030,P57,D4,SN112498/0040,C8,3.02E+13,B,0x7d,0x12,FPix +z up right 5,4,FPix +z up right 6,2,11,turquoise-12,47/48,2,b,1297,top,,9,3,2,D3-RG4-HV1,,1281
FPix_BpI_D3_BLD3_PNL2_RNG2,15T,M-Q-4-17,4296,8,3Td,3TA,5,PR147,portcard_FPix_BpI_D3_PRT1,PB-43,J12,3,dcdc_FPix_BpI_D3_PRT1,Disk3_RG4,CI-A 030,P57,D3,SN112498/0031,C8,3.02E+13,B,0x7d,0x12,FPix +z up right 5,3,FPix +z up right 6,2,12,turquoise-12,23/24,2,t,1297,top,,9,3,2,D3-RG4-HV1,,1281
FPix_BpI_D3_BLD2_PNL2_RNG2,16T,M-M-3-23,4272,7,3Td,3TA,3,PR147,portcard_FPix_BpI_D3_PRT1,PB-43,J12,3,dcdc_FPix_BpI_D3_PRT1,Disk3_RG4,CI-A 030,P57,D2,SN112498/0030,C8,3.02E+13,B,0x7d,0x12,FPix +z up right 5,2,FPix +z up right 6,2,13,turquoise-12,47/48,1,b,1296,top,,9,3,2,D3-RG4-HV1,,1280
FPix_BpI_D3_BLD1_PNL2_RNG2,17T,M-Q-7-06,4318,6,3Td,3TA,1,PR147,portcard_FPix_BpI_D3_PRT1,PB-43,J12,3,dcdc_FPix_BpI_D3_PRT1,Disk3_RG4,CI-A 030,P57,D1,SN112498/0036,C8,3.02E+13,B,0x7d,0x12,FPix +z up right 5,1,FPix +z up right 6,2,14,turquoise-12,23/24,1,t,1296,top,,9,3,2,D3-RG4-HV1,,1280
FPix_BpI_D3_BLD17_PNL1_RNG2,1B,M-Q-3-26,4291,5,3Ba,3BD,7,PR009,portcard_FPix_BpI_D3_PRT4,PB-44,J11,1,dcdc_FPix_BpI_D3_PRT4,Disk3_RG1,CI-A 047,FP28,A21,SN112498/0029,B12,3.02E+13,A,0x7b,0x12,FPix +z down right 2,1,FPix +z down right 3,4,1,yellow-9,41/42,7,b,1302,top,,9,4,1,D3-RG1-HV1,,1286
FPix_BpI_D3_BLD16_PNL1_RNG2,2B,M-Q-9-40,4263,4,3Ba,3BD,5,PR009,portcard_FPix_BpI_D3_PRT4,PB-44,J11,1,dcdc_FPix_BpI_D3_PRT4,Disk3_RG1,CI-A 047,FP28,A20,SN112498/0026,B12,3.02E+13,A,0x7b,0x12,FPix +z down right 2,2,FPix +z down right 3,4,2,yellow-9,17/18,7,t,1302,top,,9,4,1,D3-RG1-HV1,,1286
FPix_BpI_D3_BLD15_PNL1_RNG2,3B,M-Q-4-06,4295,3,3Ba,3BD,3,PR009,portcard_FPix_BpI_D3_PRT4,PB-44,J11,1,dcdc_FPix_BpI_D3_PRT4,Disk3_RG1,CI-A 047,FP28,A19,SN112498/0002,B12,3.02E+13,A,0x7b,0x12,FPix +z down right 2,3,FPix +z down right 3,4,3,yellow-9,41/42,6,b,1301,top,,9,4,1,D3-RG1-HV1,,1285
FPix_BpI_D3_BLD14_PNL1_RNG2,4B,M-K-3-48,4275,2,3Ba,3BD,1,PR009,portcard_FPix_BpI_D3_PRT4,PB-44,J11,1,dcdc_FPix_BpI_D3_PRT4,Disk3_RG1,CI-A 047,FP28,A18,SN112498/0003,B12,3.02E+13,A,0x7b,0x12,FPix +z down right 2,4,FPix +z down right 3,4,4,yellow-9,17/18,6,t,1301,top,,9,4,1,D3-RG1-HV1,,1285
FPix_BpI_D3_BLD13_PNL1_RNG2,5B,M-Q-4-24,4319,6,3Bb,3BC,7,PR012,portcard_FPix_BpI_D3_PRT3,PB-8,J11,1,dcdc_FPix_BpI_D3_PRT3,Disk3_RG2,CI-A 019,P86,A18,SN112498/0003,B12,3.02E+13,B,0x7c,0x12,FPix +z down right 2,4,FPix +z down right 3,4,4,pink-11,21/22,6,t,1301,top,,9,4,2,D3-RG2-HV1,,1285
FPix_BpI_D3_BLD12_PNL1_RNG2,6B,M-P-5-34,4317,5,3Bb,3BC,5,PR012,portcard_FPix_BpI_D3_PRT3,PB-8,J11,1,dcdc_FPix_BpI_D3_PRT3,Disk3_RG2,CI-A 019,P86,A17,SN112498/0037,B12,3.02E+13,B,0x7c,0x12,FPix +z down right 2,1,FPix +z down right 3,4,5,pink-11,45/46,5,b,1300,top,,9,4,2,D3-RG2-HV1,,1284
FPix_BpI_D3_BLD11_PNL1_RNG2,7B,M-P-2-38,4271,4,3Bb,3BC,4,PR012,portcard_FPix_BpI_D3_PRT3,PB-8,J11,2,dcdc_FPix_BpI_D3_PRT3,Disk3_RG2,CI-A 019,P86,B16,SN112498/0005,B12,3.02E+13,B,0x7c,0x12,FPix +z down right 2,2,FPix +z down right 3,4,6,yellow-9,17/18,5,t,1300,top,,9,4,2,D3-RG2-HV1,,1284
FPix_BpI_D3_BLD10_PNL1_RNG2,8B,M-Q-9-24,4277,3,3Bb,3BC,3,PR012,portcard_FPix_BpI_D3_PRT3,PB-8,J11,1,dcdc_FPix_BpI_D3_PRT3,Disk3_RG2,CI-A 019,P86,B16,SN112498/0005,B12,3.02E+13,B,0x7c,0x12,FPix +z down right 2,2,FPix +z down right 3,4,6,pink-11,21/22,5,t,1300,top,,9,4,2,D3-RG2-HV1,,1284
FPix_BpI_D3_BLD9_PNL1_RNG2,9B,M-Q-A-48,4299,2,3Bb,3BC,1,PR012,portcard_FPix_BpI_D3_PRT3,PB-8,J11,1,dcdc_FPix_BpI_D3_PRT3,Disk3_RG2,CI-A 019,P86,B15,SN112498/0006,B12,3.02E+13,B,0x7c,0x12,FPix +z down right 3,3,FPix +z down right 3,4,7,pink-11,45/46,4,b,1299,top,,9,4,2,D3-RG2-HV1,,1283
FPix_BpI_D3_BLD8_PNL1_RNG2,10B,M-Q-A-37,4323,5,3Bc,3BB,7,PR051,portcard_FPix_BpI_D3_PRT2,PB-53,J11,1,dcdc_FPix_BpI_D3_PRT2,Disk3_RG3,CI-A 041,FP30,C7,SN112498/0010,C8,3.02E+13,A,0x7e,0x12,FPix +z up right 6,1,FPix +z up right 6,2,8,yellow-9,17/18,4,t,1299,top,,9,3,1,D3-RG3-HV1,,1283
